Self-contained mixed-variable MOO wrappers generated by generate_selfcontained_wrappers_MOO_mix.m
Variables follow a deterministic C/K/D/C/D/K cyclic pattern; heterogeneity applies only to C variables.
D values are nonuniform and sorted; K values are nonuniform embeddings with permuted labels.

baseline_1/ex005_mix.m    (source=ex005, n=2, m=2, C=1, D=0, K=1, kappa=1)
sobol_digit_oscillatory_1e6/SSFYY2_mix.m    (source=SSFYY2, n=1, m=2, C=1, D=0, K=0, kappa=1000000)
spatial_thermal_9e4/SSFYY2_mix.m    (source=SSFYY2, n=1, m=2, C=1, D=0, K=0, kappa=90000)
halton_oscillatory_1e6/SSFYY2_mix.m    (source=SSFYY2, n=1, m=2, C=1, D=0, K=0, kappa=1000000)
baseline_1/SK1_mix.m    (source=SK1, n=1, m=2, C=1, D=0, K=0, kappa=1)
moderate_1e4/SK1_mix.m    (source=SK1, n=1, m=2, C=1, D=0, K=0, kappa=10000)
progressive_1e6/SK1_mix.m    (source=SK1, n=1, m=2, C=1, D=0, K=0, kappa=1000000)
extreme_1e8/SK1_mix.m    (source=SK1, n=1, m=2, C=1, D=0, K=0, kappa=100000000)
sobol_oscillatory_1e6/SK1_mix.m    (source=SK1, n=1, m=2, C=1, D=0, K=0, kappa=1000000)
sobol_digit_oscillatory_1e6/SK1_mix.m    (source=SK1, n=1, m=2, C=1, D=0, K=0, kappa=1000000)
spatial_thermal_9e4/SK1_mix.m    (source=SK1, n=1, m=2, C=1, D=0, K=0, kappa=90000)
halton_oscillatory_1e6/SK1_mix.m    (source=SK1, n=1, m=2, C=1, D=0, K=0, kappa=1000000)
baseline_1/SK2_mix.m    (source=SK2, n=4, m=2, C=2, D=1, K=1, kappa=1)
moderate_1e4/SK2_mix.m    (source=SK2, n=4, m=2, C=2, D=1, K=1, kappa=10000)
progressive_1e6/SK2_mix.m    (source=SK2, n=4, m=2, C=2, D=1, K=1, kappa=1000000)
extreme_1e8/SK2_mix.m    (source=SK2, n=4, m=2, C=2, D=1, K=1, kappa=100000000)
sobol_oscillatory_1e6/SK2_mix.m    (source=SK2, n=4, m=2, C=2, D=1, K=1, kappa=1000000)
sobol_digit_oscillatory_1e6/SK2_mix.m    (source=SK2, n=4, m=2, C=2, D=1, K=1, kappa=1000000)
spatial_thermal_9e4/SK2_mix.m    (source=SK2, n=4, m=2, C=2, D=1, K=1, kappa=90000)
halton_oscillatory_1e6/SK2_mix.m    (source=SK2, n=4, m=2, C=2, D=1, K=1, kappa=1000000)
baseline_1/TKLY1_mix.m    (source=TKLY1, n=4, m=2, C=2, D=1, K=1, kappa=1)
moderate_1e4/TKLY1_mix.m    (source=TKLY1, n=4, m=2, C=2, D=1, K=1, kappa=10000)
progressive_1e6/TKLY1_mix.m    (source=TKLY1, n=4, m=2, C=2, D=1, K=1, kappa=1000000)
extreme_1e8/TKLY1_mix.m    (source=TKLY1, n=4, m=2, C=2, D=1, K=1, kappa=100000000)
sobol_oscillatory_1e6/TKLY1_mix.m    (source=TKLY1, n=4, m=2, C=2, D=1, K=1, kappa=1000000)
sobol_digit_oscillatory_1e6/TKLY1_mix.m    (source=TKLY1, n=4, m=2, C=2, D=1, K=1, kappa=1000000)
spatial_thermal_9e4/TKLY1_mix.m    (source=TKLY1, n=4, m=2, C=2, D=1, K=1, kappa=90000)
halton_oscillatory_1e6/TKLY1_mix.m    (source=TKLY1, n=4, m=2, C=2, D=1, K=1, kappa=1000000)
baseline_1/VU1_mix.m    (source=VU1, n=2, m=2, C=1, D=0, K=1, kappa=1)
moderate_1e4/VU1_mix.m    (source=VU1, n=2, m=2, C=1, D=0, K=1, kappa=10000)
progressive_1e6/VU1_mix.m    (source=VU1, n=2, m=2, C=1, D=0, K=1, kappa=1000000)
extreme_1e8/VU1_mix.m    (source=VU1, n=2, m=2, C=1, D=0, K=1, kappa=100000000)
sobol_oscillatory_1e6/VU1_mix.m    (source=VU1, n=2, m=2, C=1, D=0, K=1, kappa=1000000)
sobol_digit_oscillatory_1e6/VU1_mix.m    (source=VU1, n=2, m=2, C=1, D=0, K=1, kappa=1000000)
spatial_thermal_9e4/VU1_mix.m    (source=VU1, n=2, m=2, C=1, D=0, K=1, kappa=90000)
halton_oscillatory_1e6/VU1_mix.m    (source=VU1, n=2, m=2, C=1, D=0, K=1, kappa=1000000)
baseline_1/VU2_mix.m    (source=VU2, n=2, m=2, C=1, D=0, K=1, kappa=1)
moderate_1e4/VU2_mix.m    (source=VU2, n=2, m=2, C=1, D=0, K=1, kappa=10000)
progressive_1e6/VU2_mix.m    (source=VU2, n=2, m=2, C=1, D=0, K=1, kappa=1000000)
extreme_1e8/VU2_mix.m    (source=VU2, n=2, m=2, C=1, D=0, K=1, kappa=100000000)
sobol_oscillatory_1e6/VU2_mix.m    (source=VU2, n=2, m=2, C=1, D=0, K=1, kappa=1000000)
sobol_digit_oscillatory_1e6/VU2_mix.m    (source=VU2, n=2, m=2, C=1, D=0, K=1, kappa=1000000)
spatial_thermal_9e4/VU2_mix.m    (source=VU2, n=2, m=2, C=1, D=0, K=1, kappa=90000)
halton_oscillatory_1e6/VU2_mix.m    (source=VU2, n=2, m=2, C=1, D=0, K=1, kappa=1000000)
baseline_1/VFM1_mix.m    (source=VFM1, n=2, m=3, C=1, D=0, K=1, kappa=1)
moderate_1e4/VFM1_mix.m    (source=VFM1, n=2, m=3, C=1, D=0, K=1, kappa=10000)
progressive_1e6/VFM1_mix.m    (source=VFM1, n=2, m=3, C=1, D=0, K=1, kappa=1000000)
extreme_1e8/VFM1_mix.m    (source=VFM1, n=2, m=3, C=1, D=0, K=1, kappa=100000000)
sobol_oscillatory_1e6/VFM1_mix.m    (source=VFM1, n=2, m=3, C=1, D=0, K=1, kappa=1000000)
sobol_digit_oscillatory_1e6/VFM1_mix.m    (source=VFM1, n=2, m=3, C=1, D=0, K=1, kappa=1000000)
spatial_thermal_9e4/VFM1_mix.m    (source=VFM1, n=2, m=3, C=1, D=0, K=1, kappa=90000)
halton_oscillatory_1e6/VFM1_mix.m    (source=VFM1, n=2, m=3, C=1, D=0, K=1, kappa=1000000)
baseline_1/ZLT1_mix.m    (source=ZLT1, n=10, m=3, C=4, D=3, K=3, kappa=1)
moderate_1e4/ZLT1_mix.m    (source=ZLT1, n=10, m=3, C=4, D=3, K=3, kappa=10000)
progressive_1e6/ZLT1_mix.m    (source=ZLT1, n=10, m=3, C=4, D=3, K=3, kappa=1000000)
extreme_1e8/ZLT1_mix.m    (source=ZLT1, n=10, m=3, C=4, D=3, K=3, kappa=100000000)
sobol_oscillatory_1e6/ZLT1_mix.m    (source=ZLT1, n=10, m=3, C=4, D=3, K=3, kappa=1000000)
sobol_digit_oscillatory_1e6/ZLT1_mix.m    (source=ZLT1, n=10, m=3, C=4, D=3, K=3, kappa=1000000)
spatial_thermal_9e4/ZLT1_mix.m    (source=ZLT1, n=10, m=3, C=4, D=3, K=3, kappa=90000)
halton_oscillatory_1e6/ZLT1_mix.m    (source=ZLT1, n=10, m=3, C=4, D=3, K=3, kappa=1000000)
baseline_1/CL1_mix.m    (source=CL1, n=4, m=2, C=2, D=1, K=1, kappa=1)
moderate_1e4/CL1_mix.m    (source=CL1, n=4, m=2, C=2, D=1, K=1, kappa=10000)
progressive_1e6/CL1_mix.m    (source=CL1, n=4, m=2, C=2, D=1, K=1, kappa=1000000)
extreme_1e8/CL1_mix.m    (source=CL1, n=4, m=2, C=2, D=1, K=1, kappa=100000000)
sobol_oscillatory_1e6/CL1_mix.m    (source=CL1, n=4, m=2, C=2, D=1, K=1, kappa=1000000)
sobol_digit_oscillatory_1e6/CL1_mix.m    (source=CL1, n=4, m=2, C=2, D=1, K=1, kappa=1000000)
spatial_thermal_9e4/CL1_mix.m    (source=CL1, n=4, m=2, C=2, D=1, K=1, kappa=90000)
halton_oscillatory_1e6/CL1_mix.m    (source=CL1, n=4, m=2, C=2, D=1, K=1, kappa=1000000)
baseline_1/CAM1_mix.m    (source=CAM1, n=2, m=2, C=1, D=0, K=1, kappa=1)
moderate_1e4/CAM1_mix.m    (source=CAM1, n=2, m=2, C=1, D=0, K=1, kappa=10000)
progressive_1e6/CAM1_mix.m    (source=CAM1, n=2, m=2, C=1, D=0, K=1, kappa=1000000)
extreme_1e8/CAM1_mix.m    (source=CAM1, n=2, m=2, C=1, D=0, K=1, kappa=100000000)
sobol_oscillatory_1e6/CAM1_mix.m    (source=CAM1, n=2, m=2, C=1, D=0, K=1, kappa=1000000)
sobol_digit_oscillatory_1e6/CAM1_mix.m    (source=CAM1, n=2, m=2, C=1, D=0, K=1, kappa=1000000)
spatial_thermal_9e4/CAM1_mix.m    (source=CAM1, n=2, m=2, C=1, D=0, K=1, kappa=90000)
halton_oscillatory_1e6/CAM1_mix.m    (source=CAM1, n=2, m=2, C=1, D=0, K=1, kappa=1000000)
baseline_1/CAM2_mix.m    (source=CAM2, n=2, m=2, C=1, D=0, K=1, kappa=1)
moderate_1e4/CAM2_mix.m    (source=CAM2, n=2, m=2, C=1, D=0, K=1, kappa=10000)
progressive_1e6/CAM2_mix.m    (source=CAM2, n=2, m=2, C=1, D=0, K=1, kappa=1000000)
extreme_1e8/CAM2_mix.m    (source=CAM2, n=2, m=2, C=1, D=0, K=1, kappa=100000000)
sobol_oscillatory_1e6/CAM2_mix.m    (source=CAM2, n=2, m=2, C=1, D=0, K=1, kappa=1000000)
sobol_digit_oscillatory_1e6/CAM2_mix.m    (source=CAM2, n=2, m=2, C=1, D=0, K=1, kappa=1000000)
spatial_thermal_9e4/CAM2_mix.m    (source=CAM2, n=2, m=2, C=1, D=0, K=1, kappa=90000)
halton_oscillatory_1e6/CAM2_mix.m    (source=CAM2, n=2, m=2, C=1, D=0, K=1, kappa=1000000)
baseline_1/lovison1_mix.m    (source=lovison1, n=2, m=2, C=1, D=0, K=1, kappa=1)
moderate_1e4/lovison1_mix.m    (source=lovison1, n=2, m=2, C=1, D=0, K=1, kappa=10000)
progressive_1e6/lovison1_mix.m    (source=lovison1, n=2, m=2, C=1, D=0, K=1, kappa=1000000)
extreme_1e8/lovison1_mix.m    (source=lovison1, n=2, m=2, C=1, D=0, K=1, kappa=100000000)
sobol_oscillatory_1e6/lovison1_mix.m    (source=lovison1, n=2, m=2, C=1, D=0, K=1, kappa=1000000)
sobol_digit_oscillatory_1e6/lovison1_mix.m    (source=lovison1, n=2, m=2, C=1, D=0, K=1, kappa=1000000)
spatial_thermal_9e4/lovison1_mix.m    (source=lovison1, n=2, m=2, C=1, D=0, K=1, kappa=90000)
halton_oscillatory_1e6/lovison1_mix.m    (source=lovison1, n=2, m=2, C=1, D=0, K=1, kappa=1000000)
baseline_1/lovison2_mix.m    (source=lovison2, n=2, m=2, C=1, D=0, K=1, kappa=1)
moderate_1e4/lovison2_mix.m    (source=lovison2, n=2, m=2, C=1, D=0, K=1, kappa=10000)
progressive_1e6/lovison2_mix.m    (source=lovison2, n=2, m=2, C=1, D=0, K=1, kappa=1000000)
extreme_1e8/lovison2_mix.m    (source=lovison2, n=2, m=2, C=1, D=0, K=1, kappa=100000000)
sobol_oscillatory_1e6/lovison2_mix.m    (source=lovison2, n=2, m=2, C=1, D=0, K=1, kappa=1000000)
sobol_digit_oscillatory_1e6/lovison2_mix.m    (source=lovison2, n=2, m=2, C=1, D=0, K=1, kappa=1000000)
spatial_thermal_9e4/lovison2_mix.m    (source=lovison2, n=2, m=2, C=1, D=0, K=1, kappa=90000)
halton_oscillatory_1e6/lovison2_mix.m    (source=lovison2, n=2, m=2, C=1, D=0, K=1, kappa=1000000)
baseline_1/lovison3_mix.m    (source=lovison3, n=2, m=2, C=1, D=0, K=1, kappa=1)
moderate_1e4/lovison3_mix.m    (source=lovison3, n=2, m=2, C=1, D=0, K=1, kappa=10000)
progressive_1e6/lovison3_mix.m    (source=lovison3, n=2, m=2, C=1, D=0, K=1, kappa=1000000)
extreme_1e8/lovison3_mix.m    (source=lovison3, n=2, m=2, C=1, D=0, K=1, kappa=100000000)
sobol_oscillatory_1e6/lovison3_mix.m    (source=lovison3, n=2, m=2, C=1, D=0, K=1, kappa=1000000)
sobol_digit_oscillatory_1e6/lovison3_mix.m    (source=lovison3, n=2, m=2, C=1, D=0, K=1, kappa=1000000)
spatial_thermal_9e4/lovison3_mix.m    (source=lovison3, n=2, m=2, C=1, D=0, K=1, kappa=90000)
halton_oscillatory_1e6/lovison3_mix.m    (source=lovison3, n=2, m=2, C=1, D=0, K=1, kappa=1000000)
baseline_1/lovison4_mix.m    (source=lovison4, n=2, m=2, C=1, D=0, K=1, kappa=1)
moderate_1e4/lovison4_mix.m    (source=lovison4, n=2, m=2, C=1, D=0, K=1, kappa=10000)
progressive_1e6/lovison4_mix.m    (source=lovison4, n=2, m=2, C=1, D=0, K=1, kappa=1000000)
extreme_1e8/lovison4_mix.m    (source=lovison4, n=2, m=2, C=1, D=0, K=1, kappa=100000000)
sobol_oscillatory_1e6/lovison4_mix.m    (source=lovison4, n=2, m=2, C=1, D=0, K=1, kappa=1000000)
sobol_digit_oscillatory_1e6/lovison4_mix.m    (source=lovison4, n=2, m=2, C=1, D=0, K=1, kappa=1000000)
spatial_thermal_9e4/lovison4_mix.m    (source=lovison4, n=2, m=2, C=1, D=0, K=1, kappa=90000)
halton_oscillatory_1e6/lovison4_mix.m    (source=lovison4, n=2, m=2, C=1, D=0, K=1, kappa=1000000)
baseline_1/lovison5_mix.m    (source=lovison5, n=3, m=3, C=1, D=1, K=1, kappa=1)
moderate_1e4/lovison5_mix.m    (source=lovison5, n=3, m=3, C=1, D=1, K=1, kappa=10000)
progressive_1e6/lovison5_mix.m    (source=lovison5, n=3, m=3, C=1, D=1, K=1, kappa=1000000)
extreme_1e8/lovison5_mix.m    (source=lovison5, n=3, m=3, C=1, D=1, K=1, kappa=100000000)
sobol_oscillatory_1e6/lovison5_mix.m    (source=lovison5, n=3, m=3, C=1, D=1, K=1, kappa=1000000)
sobol_digit_oscillatory_1e6/lovison5_mix.m    (source=lovison5, n=3, m=3, C=1, D=1, K=1, kappa=1000000)
spatial_thermal_9e4/lovison5_mix.m    (source=lovison5, n=3, m=3, C=1, D=1, K=1, kappa=90000)
halton_oscillatory_1e6/lovison5_mix.m    (source=lovison5, n=3, m=3, C=1, D=1, K=1, kappa=1000000)
baseline_1/lovison6_mix.m    (source=lovison6, n=3, m=3, C=1, D=1, K=1, kappa=1)
moderate_1e4/lovison6_mix.m    (source=lovison6, n=3, m=3, C=1, D=1, K=1, kappa=10000)
progressive_1e6/lovison6_mix.m    (source=lovison6, n=3, m=3, C=1, D=1, K=1, kappa=1000000)
extreme_1e8/lovison6_mix.m    (source=lovison6, n=3, m=3, C=1, D=1, K=1, kappa=100000000)
sobol_oscillatory_1e6/lovison6_mix.m    (source=lovison6, n=3, m=3, C=1, D=1, K=1, kappa=1000000)
sobol_digit_oscillatory_1e6/lovison6_mix.m    (source=lovison6, n=3, m=3, C=1, D=1, K=1, kappa=1000000)
spatial_thermal_9e4/lovison6_mix.m    (source=lovison6, n=3, m=3, C=1, D=1, K=1, kappa=90000)
halton_oscillatory_1e6/lovison6_mix.m    (source=lovison6, n=3, m=3, C=1, D=1, K=1, kappa=1000000)
baseline_1/L1ZDT4_mix.m    (source=L1ZDT4, n=10, m=2, C=4, D=3, K=3, kappa=1)
moderate_1e4/L1ZDT4_mix.m    (source=L1ZDT4, n=10, m=2, C=4, D=3, K=3, kappa=10000)
progressive_1e6/L1ZDT4_mix.m    (source=L1ZDT4, n=10, m=2, C=4, D=3, K=3, kappa=1000000)
extreme_1e8/L1ZDT4_mix.m    (source=L1ZDT4, n=10, m=2, C=4, D=3, K=3, kappa=100000000)
sobol_oscillatory_1e6/L1ZDT4_mix.m    (source=L1ZDT4, n=10, m=2, C=4, D=3, K=3, kappa=1000000)
sobol_digit_oscillatory_1e6/L1ZDT4_mix.m    (source=L1ZDT4, n=10, m=2, C=4, D=3, K=3, kappa=1000000)
spatial_thermal_9e4/L1ZDT4_mix.m    (source=L1ZDT4, n=10, m=2, C=4, D=3, K=3, kappa=90000)
halton_oscillatory_1e6/L1ZDT4_mix.m    (source=L1ZDT4, n=10, m=2, C=4, D=3, K=3, kappa=1000000)
baseline_1/L2ZDT1_mix.m    (source=L2ZDT1, n=30, m=2, C=10, D=10, K=10, kappa=1)
moderate_1e4/L2ZDT1_mix.m    (source=L2ZDT1, n=30, m=2, C=10, D=10, K=10, kappa=10000)
progressive_1e6/L2ZDT1_mix.m    (source=L2ZDT1, n=30, m=2, C=10, D=10, K=10, kappa=1000000)
extreme_1e8/L2ZDT1_mix.m    (source=L2ZDT1, n=30, m=2, C=10, D=10, K=10, kappa=100000000)
sobol_oscillatory_1e6/L2ZDT1_mix.m    (source=L2ZDT1, n=30, m=2, C=10, D=10, K=10, kappa=1000000)
sobol_digit_oscillatory_1e6/L2ZDT1_mix.m    (source=L2ZDT1, n=30, m=2, C=10, D=10, K=10, kappa=1000000)
spatial_thermal_9e4/L2ZDT1_mix.m    (source=L2ZDT1, n=30, m=2, C=10, D=10, K=10, kappa=90000)
halton_oscillatory_1e6/L2ZDT1_mix.m    (source=L2ZDT1, n=30, m=2, C=10, D=10, K=10, kappa=1000000)
baseline_1/L2ZDT2_mix.m    (source=L2ZDT2, n=30, m=2, C=10, D=10, K=10, kappa=1)
moderate_1e4/L2ZDT2_mix.m    (source=L2ZDT2, n=30, m=2, C=10, D=10, K=10, kappa=10000)
progressive_1e6/L2ZDT2_mix.m    (source=L2ZDT2, n=30, m=2, C=10, D=10, K=10, kappa=1000000)
extreme_1e8/L2ZDT2_mix.m    (source=L2ZDT2, n=30, m=2, C=10, D=10, K=10, kappa=100000000)
sobol_oscillatory_1e6/L2ZDT2_mix.m    (source=L2ZDT2, n=30, m=2, C=10, D=10, K=10, kappa=1000000)
sobol_digit_oscillatory_1e6/L2ZDT2_mix.m    (source=L2ZDT2, n=30, m=2, C=10, D=10, K=10, kappa=1000000)
spatial_thermal_9e4/L2ZDT2_mix.m    (source=L2ZDT2, n=30, m=2, C=10, D=10, K=10, kappa=90000)
halton_oscillatory_1e6/L2ZDT2_mix.m    (source=L2ZDT2, n=30, m=2, C=10, D=10, K=10, kappa=1000000)
baseline_1/L2ZDT3_mix.m    (source=L2ZDT3, n=30, m=2, C=10, D=10, K=10, kappa=1)
moderate_1e4/L2ZDT3_mix.m    (source=L2ZDT3, n=30, m=2, C=10, D=10, K=10, kappa=10000)
progressive_1e6/L2ZDT3_mix.m    (source=L2ZDT3, n=30, m=2, C=10, D=10, K=10, kappa=1000000)
extreme_1e8/L2ZDT3_mix.m    (source=L2ZDT3, n=30, m=2, C=10, D=10, K=10, kappa=100000000)
sobol_oscillatory_1e6/L2ZDT3_mix.m    (source=L2ZDT3, n=30, m=2, C=10, D=10, K=10, kappa=1000000)
sobol_digit_oscillatory_1e6/L2ZDT3_mix.m    (source=L2ZDT3, n=30, m=2, C=10, D=10, K=10, kappa=1000000)
spatial_thermal_9e4/L2ZDT3_mix.m    (source=L2ZDT3, n=30, m=2, C=10, D=10, K=10, kappa=90000)
halton_oscillatory_1e6/L2ZDT3_mix.m    (source=L2ZDT3, n=30, m=2, C=10, D=10, K=10, kappa=1000000)
